id,title,authors,abstract,categories,published,url,resource_uri,no,total_results
2606.19563v1,Exact vacuum FLRW solutions in $q$-deformed Brans-Dicke cosmology,"['Salih Kibaroğlu', 'Mustafa Senay']","We study a $q$-deformed extension of Brans-Dicke gravity in a spatially flat Friedmann-Lemaître-Robertson-Walker space-time. The deformation enters through a coupling function that modifies the effective gravitational strength and leads to generalized Friedmann equations. In the matter-free sector, we obtain exact analytic solutions for the scale factor and the Brans-Dicke scalar field, and recast the scalar contribution as an effective fluid. We show that the corresponding equation-of-state parameter and the deceleration parameter are constants and depend only on the Brans-Dicke coupling $ω$ and the deformation function, allowing the scalar sector to mimic radiation-, matter-, or dark-energy-like behavior for a restricted region of parameter space.",['gr-qc'],2026-06-17T20:03:10+00:00,https://arxiv.org/pdf/2606.19563v1,arxiv://2606.19563v1,1,10
2606.19440v1,Moduli Stabilisation for ADD and the Dark Dimension Scenario,"['Andreas P. Braun', 'Michele Cicoli', 'Riccardo Milioli', 'Roberto Valandro']","We provide a moduli stabilisation mechanism for realising anisotropic string compactifications with one or two large extra dimensions, corresponding to the ADD and Dark Dimension scenarios. This is achieved within the type IIB Large Volume Scenario, where an exponentially large Calabi-Yau volume in string units can naturally generate a parametrically low Kaluza-Klein scale. Anisotropy is realised by considering a Calabi-Yau threefold which is a K3 fibration over a $\mathbb{P}^1$ base. The volume of the 4D K3 fibre is stabilised at relatively small values by perturbative corrections to the effective action, in particular string loops and higher-derivative effects, leaving an exponentially large volume of the 2D $\mathbb{P}^1$ base. We argue that complex structure moduli stabilisation can dynamically deform the $\mathbb{P}^1$ base, corresponding to a Tyurin degeneration limit where the internal geometry effectively develops a single large 1D cycle. Within a unified description, the ADD case is instead recovered as a symmetric alternative limit. The potential can feature either a dS vacuum or a quintessence runaway, although in both cases some degree of tuning is required to match the observed cosmological constant scale. We also present an explicit Calabi-Yau orientifold example with consistent brane setup, tadpole cancellation and moduli stabilisation. We analyse the resulting moduli spectrum and associated phenomenological constraints, including supersymmetry breaking, cosmological moduli overproduction and fifth force bounds.","['hep-th', 'astro-ph.CO', 'hep-ph']",2026-06-17T18:00:04+00:00,https://arxiv.org/pdf/2606.19440v1,arxiv://2606.19440v1,2,10
2606.11062v1,A Friendly Phantom: Late-time AdS-to-dS transition and cosmological tensions,"['Özgür Akarsu', 'Leandros Perivolaropoulos', 'A. Emrah Yükselci', 'Alexander Zhuk']","We present Ph-$Λ_{\rm s}$CDM, a phantom-scalar realization within General Relativity of the sign-switching cosmological-constant idea, $Λ_{\rm s}$CDM, in which a phantom scalar evolving on a bounded hyperbolic-tangent potential induces a smooth mirror AdS-to-dS transition in the late-time dark-energy density. The wrong-sign kinetic term, usually viewed as pathological, becomes the mechanism lifting the field from a negative- to a positive-energy vacuum-like regime. The construction also shows that the field can become repulsive while its energy density is still negative. The cosmology nevertheless remains controlled: total energy stays positive, the late-time attractor is de Sitter rather than a Big Rip, and the dynamics remain safely infrared. Ph-$Λ_{\rm s}$CDM thus offers a concrete late-time mechanism with the potential to address multiple cosmological tensions.","['gr-qc', 'astro-ph.CO', 'hep-ph', 'hep-th']",2026-06-09T16:23:08+00:00,https://arxiv.org/pdf/2606.11062v1,arxiv://2606.11062v1,3,10
2604.26982v2,$\mathcal{H}$olographic $\mathcal{N}$aturalness and Information See-Saw Mechanism for Neutrinos,"['Andrea Addazi', 'Giuseppe Meluccio']","The microscopic origin of the de Sitter entropy remains a central puzzle in quantum gravity related to the cosmological constant problem. Within $\mathcal{H}$olographic $\mathcal{N}$aturalness, we propose this entropy is carried by light, coherent degrees of freedom - ""hairons"" - emerging as moduli of gravitational instantons on orbifolds. From the Euclidean de Sitter instanton ($S^4$), we construct a new class of orbifold gravitational instantons, $S^4/\mathbb{Z}_N$, where $N$ corresponds to the de Sitter entropy. The moduli space dimension scales linearly with $N$, and we identify these moduli with hairon fields. A $\mathbb{Z}_N$ symmetry from Wilson loops ensures mode distinguishability, yielding the correct entropy. Hairons acquire a mass of the order of the Hubble scale with negligible interactions, suggesting the de Sitter vacuum is a Bose-Einstein condensate of these excitations. We then unify the neutrino mass generation with the cosmological constant via gravitational topology. The small neutrino mass emerges naturally without new physics beyond the Standard Model. The gravitational Chern-Simons structure and anomaly force a topological Higgs mechanism, leading to neutrino condensation via $S^4/\mathbb{Z}_N$ instantons. The topological degrees $N \sim M_\text{P}^2/Λ\sim 10^{120}$ provide both a holographic entropy counting and a $1/N$ information see-saw mechanism for neutrino masses. Predictions: (i) neutrino superfluid condensation forming Cooper pairs below meV as cold dark matter; (ii) resolution of the strong CP problem via a QCD composite axion; (iii) time-varying neutrino masses tracking th dark energy evolution; (iv) signatures in astroparticle physics, ultra-high-energy cosmic rays and high magnetic field experiments.","['hep-ph', 'hep-th']",2026-04-28T18:15:50+00:00,https://arxiv.org/pdf/2604.26982v2,arxiv://2604.26982v2,4,10
2604.26032v1,$\mathcal{H}$olographic $\mathcal{N}$aturalness and Pre-Geometric Gravity,"['Andrea Addazi', 'Salvatore Capozziello', 'Giuseppe Meluccio']","The cosmological constant (CC, $Λ$) problem represents a remarkable discrepancy of about 120 orders of magnitude between the observed dark energy and its natural expectation from quantum field theory. This paper synthesizes two paradigms - holographic naturalness ($\mathcal{HN}$) and pre-geometric gravity (PGG) - to propose a unified resolution. The $\mathcal{HN}$ framework posits that CC stability is not a matter of radiative corrections but of quantum information and entropy. The large entropy $S_\text{dS}\sim M_\text{P}^2/Λ$ of the de Sitter (dS) vacuum acts as an entropic barrier, exponentially suppressing destabilizing quantum transitions. This explains why the universe remains in a high-entropy, low-CC state. We embed this within PGG, where spacetime geometry and the Einstein-Hilbert action emerge dynamically from the spontaneous symmetry breaking SO($1,4$)$\rightarrow$SO($1,3$), driven by a Higgs-like field $φ^A$. Both $M_\text{P}$ and $Λ$ are generated from more fundamental parameters. Crucially, we establish a direct correspondence between the VEV $v$ of the pre-geometric Higgs field and the de Sitter entropy: $S_\text{dS}\sim v$ (or $v^3$). Thus, the field generating spacetime also encodes its information content. The smallness of $Λ$ follows directly from the largeness of $S_\text{dS}$, a manifestation of a large $v$. The CC is stable because a large-entropy state's decay is exponentially suppressed. Our study shows new semi-classical quantum gravity effects dynamically generate ""hairons"", particles whose mass is tied to the CC. The instability of the dS space, driven by a condensate evolution, points to a dynamical origin for dark energy. This framework inextricably links the emergence of geometry, the hierarchy of scales and the quantum-information structure of spacetime, providing a novel path toward solving the CC problem.","['hep-th', 'gr-qc']",2026-04-28T18:15:18+00:00,https://arxiv.org/pdf/2604.26032v1,arxiv://2604.26032v1,5,10
2604.21050v2,Spontaneous Symmetry Breaking and the Vacuum Displacement Principle: From Galactic Scales to Cosmic Fine-Tuning,['Rodrigo Maier'],"We present a modified gravity framework based on a principle of vacuum displacement, where the vacuum is modeled as a Higgs-type scalar field $χ$ undergoing spontaneous symmetry breaking. The macroscopic manifestation of such vacuum displacement principle is phenomenologically introduced via a low-energy effective scalar tensor coupling so that baryonic matter acts as an impurity in the vacuum substrate. This interaction leads to a restorative buoyancy force that modifies the geodesic equation and violates the Weak Equivalence Principle. We show that this mechanism naturally recovers the Schwarzschild metric in the vacuum limit while providing a Yukawa-corrected Newtonian potential in the presence of matter. This correction offers a dynamical explanation for flat galactic rotation curves and a tracking mechanism for the cosmological constant, potentially resolving the coincidence and fine-tuning problems without the need of dark sectors.","['gr-qc', 'hep-th']",2026-04-22T19:48:11+00:00,https://arxiv.org/pdf/2604.21050v2,arxiv://2604.21050v2,6,10
2603.24685v2,UV-complete and stable Quintom Dark Energy models in the light of DESI DR2,['Fotis Koutroulis'],"We propose that Quintom dark energy, the simplest framework allowing crossing of the cosmological-constant boundary, admits a natural UV completion in a 5D anisotropic orbifold lattice: the Non-Perturbative Gauge-Higgs Unification (NPGHU) model. In this setup, a bulk 5D SU(2) gauge field projects on the 4D boundary to a complex scalar and a U(1) gauge field, identified with the dynamical dark-energy sector, while the Standard Model and dark matter remain localized in four dimensions. At late times, bulk-induced dimension-6 higher-derivative operators generate both physical and phantom scalar and gauge degrees of freedom. We show that the resulting 4D effective action is a modified Quintom model whose background equation of state can naturally realize Quintom-B behavior. A crucial contribution arises from the massive gauge ghost, allowing an excellent fit to DESI data with negligible fine-tuning, unlike standard Quintom scenarios. We further show that the inherited properties of the NPGHU construction e.g. absence of fundamental ghost instabilities, absence of potential terms and a finite low-energy cutoff $Λ$ associated with approximate Lorentz invariance, play a central role in the consistency of the effective theory under linear perturbations and vacuum decay. For the most natural regime, $Λ\approx {\cal O}(10)H_0$, the model remains robust despite the presence of IR phantom modes. Our results provide a natural and predictive framework in which Quintom dark energy can be consistently embedded in a fundamental theory.","['hep-ph', 'astro-ph.CO', 'hep-th']",2026-03-25T18:04:12+00:00,https://arxiv.org/pdf/2603.24685v2,arxiv://2603.24685v2,7,10
2603.21675v2,Unimodular Diffusion and Interacting Vacuum Cosmology,"['Gopal Kashyap', 'Naveen K. Singh']","We investigate the correspondence between unimodular diffusion cosmology and interacting dark sector models at the background and linear perturbation levels. In the diffusion framework, the effective cosmological constant becomes time dependent, $Λ(t)$, sourced by a diffusion current. We show that at the background level this framework can be mapped onto interacting dark energy models with $w=-1$ and energy transfer $Q$. Using two common parameterizations, $Q = ξH ρ_{\rm de}$ and $Q = ξH ρ_{\rm dm}$, and data from supernovae, DESI BAO, cosmic chronometers, and CMB distance priors, we find $ξ= -0.0197 \pm 0.0076$ for the vacuum-coupled case, while the matter-coupled case gives a best-fit $ξ= 0.0018$ with comparable goodness of fit. At the level of linear perturbations, however, the diffusion framework is consistent only with interacting vacuum models having homogeneous energy transfer ($Q \propto ρ_{\rm de}$ with $δQ=0$), thereby breaking the degeneracy with more general interacting dark energy scenarios. Including redshift-space distortion data, we obtain $ξ= -0.0147 \pm 0.0075$, consistent with $Λ$CDM ($ξ=0$) at $2σ$. The inferred clustering amplitude is $S_8 = 0.782 \pm 0.026$ for the diffusion model, compared to $S_8 = 0.77 \pm 0.025$ for $Λ$CDM under the same dataset, indicating a modest but non-negligible impact on structure growth.","['astro-ph.CO', 'gr-qc']",2026-03-23T08:04:24+00:00,https://arxiv.org/pdf/2603.21675v2,arxiv://2603.21675v2,8,10
2603.03385v1,Dark Energy from Entanglements with Mirror Universe,"['Merab Gogberashvili', 'Tinatin Tsiskaridze']","We investigate a possible resolution of the dark energy problem within a pair-universe framework, in which the Universe emerges as an entangled pair of time-reversed sectors. In this setting, a global zero-energy condition allows vacuum energy contributions from the two sectors to cancel, alleviating the need for extreme fine-tuning. We propose that the observed dark energy does not originate from vacuum fluctuations but instead arises as an effective entanglement energy between the visible universe and its mirror counterpart. Treating the cosmological constant as an integration constant fixed by boundary conditions rather than a fundamental parameter, we show that the cosmological equations can be formulated without explicitly introducing vacuum energy. By imposing physically motivated boundary conditions at the cosmological event horizon, we obtain an integration constant consistent with the observed dark energy density. The parallel mirror world scenario thus provides a unified framework that may simultaneously explain the origins of dark energy and dark matter.",['gr-qc'],2026-03-03T07:22:19+00:00,https://arxiv.org/pdf/2603.03385v1,arxiv://2603.03385v1,9,10
2602.14269v1,$Λ(t)$CDM Model: Cosmological Implications and Dynamical System Analysis,"['Himanshu Chaudhary', 'Ratul Mandal', 'Masroor Bashir', 'Vipin Kumar Sharma', 'Ujjal Debnath']","We investigated a time-varying cosmological constant model using recent BAO measurements from DESI DR2, combined with Type Ia supernova samples (Pantheon$^{+}$, DES-Dovekie, and Union3) and CMB shift parameters, to constrain the $Λ(t)$CDM model parameters via Markov Chain Monte Carlo analysis. We find that the interaction term $Q(z)$ shows a sign change for all dataset combinations by crossing $Q(z)=0$, depending on the choice of the dataset: at low redshift $Q(z)<0$, indicating vacuum energy decaying into dark matter, while at high redshift $Q(z)>0$, corresponding to dark matter decaying into vacuum energy. The dynamical system analysis found three critical points, namely $P_1,P_2$, and $P_3$ respectively. The resulting critical points, determined by the underlying cosmological parameters, correspond to distinct epochs in cosmic evolution. Depending on the parameter combinations, these points characterize various cosmological phases, ranging from an accelerated stiff matter-dominated era to late-time accelerated expansion. The stability of each critical point is analyzed using linear stability theory, with the relevant physical constraints on the cosmological parameters duly incorporated throughout the analysis. For each dataset combinations, the $Λ(t)$CDM model predicts that $ω_0 > -1$, showing a preference for dynamical dark energy over the cosmological constant scenario with $ω_0 = -1$. Consequently, the model exhibits a transition phase in the range $N \equiv \log a(t) \approx -0.51$ to $-0.48$ and predicts $q_0$ in the range $-0.54$ to $-0.52$, with the precise transition point depending on the choice of dataset. Finally, the Bayesian evidence shows strong support for the $Λ(t)$CDM model over $Λ$CDM",['gr-qc'],2026-02-15T18:42:29+00:00,https://arxiv.org/pdf/2602.14269v1,arxiv://2602.14269v1,10,10
